idx,requirement,true_vector,ai_response,pred_vector,accuracy,completion_tokens,prompt_tokens,total_tokens
769,"The steering and throttle systems must allow for precise control inputs, enabling the driver to make fine adjustments as needed for vehicle maneuvering","[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 1, 0]","[1,0,0,0,1,0]",False,20,775,795
774,"The vehicle's stability control system must maintain stability in response to steering inputs, adjusting throttle output as necessary to match the driver's steering actions","[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 1, 0]","[1,0,0,0,1,0]",False,20,777,797
776,The vehicle must have a controlled response system that modulates both the steering and the throttle inputs if the driver's actions are detected as erratic or sudden,"[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 1, 0]","[1,0,0,0,1,0]",False,20,779,799
780,"In the event of a critical situation detected during a lane change, the system must prioritize safety by adjusting steering and throttle inputs to maintain controlled vehicle behavior","[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 1, 0]","[1,0,0,0,1,0]",False,20,779,799
782,"The vehicle must synchronize throttle and steering actions to execute a proper lane change technique, as defined by the vehicle's dynamic handling characteristics","[1,1,0,0,0,0]","Vector: [1,0,0,0,1,0]","[1,0,0,0,1,0]",False,15,775,790
784,"Upon throttle lift-off during a lane change, the vehicle control system must adapt steering assistance to maintain a safe trajectory","[1,1,0,0,0,0]","Vector: [0, 0, 0, 0, 1, 0]","[0,0,0,0,1,0]",False,20,772,792
786,Implement predictive algorithms that adjust throttle and steering inputs preemptively during anticipated lane change actions,"[1,1,0,0,0,0]","Vector: [1,0,0,0,1,0]","[1,0,0,0,1,0]",False,15,766,781
787,"After a lane change maneuver, the system must safely manage the transition back to normal throttle application without compromising vehicle control or stability","[1,1,0,0,0,0]","Vector: [0, 0, 0, 0, 1, 0]","[0,0,0,0,1,0]",False,20,774,794
788,The system should impose steering angle limitations when aggressive acceleration is detected to prevent loss of control during lane changes,"[1,1,0,0,0,0]","Vector: [1,0,0,0,1,0]","[1,0,0,0,1,0]",False,15,770,785
789,The control system must have the capability to perform real-time adjustments to both steering and throttle during lane change maneuvers to maintain balance and vehicle poise,"[1,1,0,0,0,0]","Vector: [1,0,0,0,1,0]","[1,0,0,0,1,0]",False,15,778,793
790,"A diagnostic protocol must be in place to detect and report faults in the integration of steering and throttle systems, especially during lane changes","[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 1, 0]","[1,0,0,0,1,0]",False,20,775,795
791,The throttle control system must modulate power delivery based on steering input to facilitate smooth and safe lane changes,"[1,1,0,0,0,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,770,790
795,Blind Spot Monitoring alerts must synchronize with the steering angle sensor to provide targeted warnings when the acceleration pedal is engaged and a lane change is detected,"[1,1,0,0,0,0]","Vector: [1,0,0,0,1,0]","[1,0,0,0,1,0]",False,15,778,793
800,"The sensitivity of steering angle input should be adjustable when Adaptive Cruise Control is active to prevent overcorrection during assisted driving, taking into account the current acceleration pedal position","[1,1,0,0,0,0]","Vector: [1,0,0,0,1,0]","[1,0,0,0,1,0]",False,15,782,797
803,"Haptic feedback on the steering wheel or acceleration pedal should be coordinated when the Lane Change Assistant detects potential hazards, providing a tactile alert to the driver","[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 0, 0]","[1,0,0,0,0,0]",False,20,779,799
807,"In cases where lane change signals are activated but not followed by a lane change gesture within a specific timeframe, the system must maintain current steering angle and acceleration levels to prevent unintended lane changes","[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,786,801
808,The vehicle shall utilize predictive algorithms to assist in lane change preparation by analyzing steering angle patterns and acceleration pedal usage to determine the driver's lane change reflex,"[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 0, 0]","[1,0,0,0,0,0]",False,20,779,799
815,Implement haptic feedback through the steering mechanism during lane change signals to alert the driver of optimal lane change timing and execution,"[1,1,0,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,773,788
816,"The steering system must adjust feedback and responsiveness based on real-time traffic conditions data, enhancing control during lane changes in congested areas","[1,1,0,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,775,790
817,"The sensitivity and responsiveness of the acceleration pedal shall automatically adjust to suit varying road conditions, such as wet or slippery surfaces","[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 0, 0]","[1,0,0,0,0,0]",False,20,773,793
818,"The lane-keeping assist system must take into account lane congestion to provide appropriate steering assistance, reducing driver fatigue and enhancing safety","[1,1,0,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,774,789
819,The system should limit the steering angle during high-speed lane changes on highways to prevent oversteering and loss of control,"[1,1,0,0,0,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,773,793
820,"The acceleration control system must use predictive algorithms to smooth out acceleration and deceleration in heavy traffic, reducing the risk of rear-end collisions","[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,777,792
821,The vehicle control system shall automatically decelerate when a lane change in heavy traffic is detected without safe distances,"[1,1,0,0,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,771,786
822,The steering system should provide haptic feedback to the driver when lane availability is inadequate for a lane change,"[1,1,0,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,770,785
823,The vehicle control system shall synchronize steering and acceleration behaviors during lane changes to ensure a stable and predictable vehicle trajectory,"[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,771,786
824,"In congested urban environments, the vehicle must allow for emergency steering override to navigate unexpected obstacles","[1,1,0,0,0,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,768,788
825,"The vehicle's software shall modulate the acceleration pedal response when frequent lane changes are detected, aiming to maintain a consistent speed and smooth driving behavior","[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,778,793
826,"Provide incremental steering assistance for safer lane change maneuvers on multilane roads, prioritizing minimal disruption to surrounding traffic","[1,1,0,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,772,787
828,"The steering system should automatically compensate for crosswind forces during lane changes, especially on highways, to maintain the intended path","[1,1,0,0,0,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,773,793
830,"The steering system sensitivity must adapt during high-speed conditions, such as time attack or track days, to ensure stable vehicle handling in conjunction with acceleration inputs","[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,779,794
833,The system must be able to limit the steering angle in response to aggressive acceleration scenarios to support defensive driving techniques,"[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,771,786
837,The system must facilitate enhanced steering control when the acceleration pedal is modulated for overtaking maneuvers on autocross and circuit tracks,"[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,774,789
839,Implement fail-safe modes that ensure the vehicle maintains directional control and reduces acceleration smoothly in the event of system failure,"[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 0, 0]","[1,0,0,0,0,0]",False,20,771,791
842,"The steering system sensitivity should adapt based on the position of the accelerator pedal to support smooth control and maneuverability, especially during parking challenges and low-speed control scenarios","[1,1,0,0,0,0]","Vector: [1,0,0,0,1,0]","[1,0,0,0,1,0]",False,15,781,796
850,"Appropriate feedback mechanisms must be in place to inform the driver of the balance between steering inputs and accelerator pedal usage, ensuring smooth control and precision in tight spaces","[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 1, 0]","[1,0,0,0,1,0]",False,20,781,801
856,"The steering angle sensor must provide high-resolution data to facilitate accurate parking maneuvers, including parallel and perpendicular parking","[1,1,0,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,770,785
857,"The acceleration pedal must provide fine control for low-speed maneuvers such as garage parking and docking, allowing for incremental changes in vehicle speed","[1,1,0,0,0,0]","Vector: [1,0,0,0,0,0]","[1,0,0,0,0,0]",False,15,775,790
859,"In the event of a sensor or actuator fault during the use of parking aids, the system must default to a fail-safe mode that minimizes risk during backing in or forward parking","[1,1,0,0,0,0]","Vector: [0,0,0,0,0,0]","[0,0,0,0,0,0]",False,15,786,801
865,Provide real-time tactile or visual feedback to the driver regarding steering and acceleration inputs during low-speed parking maneuvers,"[1,1,0,0,0,0]","Vector: [1, 0, 0, 0, 1, 0]","[1,0,0,0,1,0]",False,20,770,790
873,Wheel speed sensors must maintain high sensitivity and accuracy at low speeds to correspond with minor adjustments in steering angle during parallel parking,"[0,1,1,0,0,0]","Vector: [0,0,1,0,1,0]","[0,0,1,0,1,0]",False,15,773,788
875,Provide predictive steering assistance during 90-degree turns based on real-time wheel speed sensor data to enhance maneuverability,"[0,1,1,0,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,771,786
885,The vehicle control system must continuously monitor and compare individual wheel speeds to detect and respond to wheel slip scenarios commonly encountered in urban road conditions,"[0,1,1,0,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,776,791
886,Implement a steering angle limitation system that prevents over-steering at higher speeds to maintain vehicle stability during sudden maneuvers in downtown driving scenarios,"[0,1,1,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,775,790
891,"Equip each wheel with redundant speed sensors to ensure reliable wheel speed data for the steering control system, even if one sensor fails during metropolitan driving","[0,1,1,0,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,777,792
892,The steering system must be capable of entering a safe mode that enables basic steering functionality in the event of wheel speed sensor failure during urban navigation,"[0,1,1,0,0,0]","Vector: [0, 0, 1, 0, 0, 0]","[0,0,1,0,0,0]",False,20,777,797
896,"The steering system must adjust the steering angle response according to the vehicle size, with particular calibration for compact vehicles, small cars, subcompact cars, mini cars, and micro cars to ensure consistent maneuverability","[0,1,1,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,790,805
898,"The steering control system must limit the steering angle based on the turning diameter associated with the vehicle's length and width to prevent rollover risks during tight turns, especially in smaller vehicles","[0,1,1,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,785,800
900,"Steering angle should be limited based on vehicle dimensions to prevent instability at high wheel speeds, particularly in vehicles with shorter wheelbases like mini and micro cars","[0,1,1,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,780,795
901,"Steering sensitivity must be adjusted based on the vehicle's speed and size, ensuring that smaller vehicles with potentially tighter turning radii do not oversteer at high speeds","[0,1,1,0,0,0]","Vector: [0,1,0,0,0,1]","[0,1,0,0,0,1]",False,15,783,798
903,"Develop and implement custom steering maps for each category of vehicle size, ensuring that steering input translates to appropriate vehicle trajectory based on the specific dimensions of the vehicle","[0,1,1,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,780,795
904,The algorithm controlling the relationship between wheel speed and vehicle dynamics must be adjusted for the specific dimensions of the vehicle to ensure accurate stability and traction control,"[0,1,1,0,0,0]","Vector: [0, 0, 1, 0, 0, 0]","[0,0,1,0,0,0]",False,20,778,798
905,"Steering feedback must be consistent and predictable across different vehicle sizes, ensuring that the driver experiences a proportional response regardless of vehicle dimensions","[0,1,1,0,0,0]","Vector: [0, 1, 0, 0, 0, 0]","[0,1,0,0,0,0]",False,20,775,795
906,"Implement a variable steering ratio that adapts to the vehicle's width, providing a tighter steering ratio for narrow vehicles and a more gradual ratio for wider vehicles, enhancing handling and safety","[0,1,1,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,785,800
907,"The wheel speed control system must include compensation mechanisms for the effects of vehicle size and dimensions on dynamic wheel speed, especially when navigating curves and turns","[0,1,1,0,0,0]","Vector: [0, 0, 1, 0, 0, 0]","[0,0,1,0,0,0]",False,20,778,798
908,"Adaptive steering damping should be implemented to adjust the steering feel and stability based on the vehicle's size, providing a suitable level of damping force for different vehicle dimensions","[0,1,1,0,0,0]","Vector: [0, 0, 0, 0, 0, 0]","[0,0,0,0,0,0]",False,20,782,802
910,Each wheel's speed sensor must provide accurate readings on uneven ground to facilitate appropriate steering corrections and maintain traction,"[0,1,1,0,0,0]","Vector: [0, 0, 1, 0, 0, 0]","[0,0,1,0,0,0]",False,20,770,790
912,"When driving on sand, the vehicle must automatically engage a differential lock if a significant wheel speed disparity is detected, to adjust the steering angle for improved traction","[0,1,1,0,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,780,795
914,"On gravel, the steering system should engage damping controls to mitigate rapid steering angle changes due to wheel speed variations","[0,1,1,0,0,0]","Vector: [0, 0, 1, 0, 1, 0]","[0,0,1,0,1,0]",False,20,771,791
919,"In desert driving conditions, synchronize wheel speeds to prevent wheel slip, automatically adjusting the steering angle to accommodate the terrain variability","[0,1,1,0,0,0]","Vector: [0,0,1,0,1,0]","[0,0,1,0,1,0]",False,15,773,788
930,The system should proactively manage brake pressure to prevent wheel lock-up based on current steering angle and predicted path,"[0,1,1,0,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,771,786
933,"In the event of traction loss, the system must integrate steering angle data with acceleration control to apply differential wheel speeds for regaining control","[0,1,1,0,0,0]","Vector: [1,0,1,0,0,0]","[1,0,1,0,0,0]",False,15,776,791
937,"The steering system must maintain precise control and feedback, while the wheel speed control system should automatically adjust torque distribution during hill climbs and descents to avoid wheel slip","[0,1,1,0,0,0]","Vector: [0,1,1,0,1,0]","[0,1,1,0,1,0]",False,15,781,796
938,The wheel speed sensors must accurately detect rapid changes in wheel speed indicative of traversing obstacles like boulders or tree roots and adjust steering assistance as necessary,"[0,1,1,0,0,0]","Vector: [0, 0, 1, 0, 0, 0]","[0,0,1,0,0,0]",False,20,780,800
941,"Post water crossings, the wheel speed detection system must clear any temporary faults caused by water ingress to ensure accurate speed readings and corresponding steering control","[0,1,1,0,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,777,792
945,"When differential wheel speed is detected due to terrain irregularities like ruts or obstacles, the steering system should aid the driver in maintaining the intended path with adjusted steering feedback","[0,1,1,0,0,0]","Vector: [0,0,1,0,1,0]","[0,0,1,0,1,0]",False,15,783,798
946,"The system must provide variable steering assist to help maneuver around or over obstacles, modulated by the input from wheel speed sensors indicating abrupt deceleration","[0,1,1,0,0,0]","Vector: [0, 0, 1, 0, 0, 0]","[0,0,1,0,0,0]",False,20,779,799
962,"Steering assistance systems shall adjust the level of power assistance in real-time based on wheel speed feedback, ensuring consistent steering feel and control during varying wheel speed conditions","[0,1,1,0,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,781,796
967,"Steering stability control systems must proactively engage upon detection of significant wheel speed fluctuations, maintaining vehicle directional stability","[0,1,1,0,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,771,786
972,"Harmonize steering-brake interactions to ensure that maneuverability is maintained across a range of speeds and driving conditions, including during ABS engagement","[0,1,1,0,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,777,792
975,The system shall use steering angle information to adjust wheel-specific throttle control to maintain optimal traction and reduce slippage,"[0,1,1,0,0,0]","Vector: [0,1,0,0,1,0]","[0,1,0,0,1,0]",False,15,772,787
984,"Steering-aided traction control interventions based on wheel speed readings must be smooth and gradual to avoid abrupt changes in vehicle dynamics, maintaining passenger comfort and safety","[0,1,1,0,0,0]","Vector: [0, 0, 1, 0, 0, 0]","[0,0,1,0,0,0]",False,20,781,801
985,"The vehicle's Human-Machine Interface (HMI) must inform the driver of the operational status of the coordinated control systems, particularly in adverse conditions where wheel-specific adjustments are critical","[0,1,1,0,0,0]","Vector: [0,0,1,0,0,0]","[0,0,1,0,0,0]",False,15,785,800
986,"In case of a critical failure in the steering angle sensor, the vehicle must default to a conservative wheel-specific traction management mode that prioritizes safety","[0,1,1,0,0,0]","Vector: [0,1,0,0,0,0]","[0,1,0,0,0,0]",False,15,778,793
990,Lane Departure Warning (LDW) system should factor in the wheel speed discrepancies when initiating steering corrections to alert or avert potential lane departures,"[0,1,1,0,0,0]","Vector: [0, 0, 1, 0, 0, 0]","[0,0,1,0,0,0]",False,20,779,799
